Brand,Price,Year,Model,Details,Image URL,Price_in_USD,Power,Usage,Odometer_miles,Range_miles
Alfa Romeo,"US$ 63,500",2023,Stelvio,2023 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12985805.jpg,63500,Gasolina,Nuevo,,
Alfa Romeo,"US$ 35,900",2019,Stelvio,2019 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13111440.jpg,35900,Gasolina,Usado,,
Alfa Romeo,"US$ 27,900",2018,Stelvio,2018 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13173882.jpg,27900,Gasolina,Usado,,
Alfa Romeo,"US$ 59,900",2018,Stelvio Quadrifoglio,2018 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13134920.jpg,59900,Gasolina,Usado,,
Alfa Romeo,"US$ 62,900",2018,Stelvio Quadrifoglio,2018 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13046702.jpg,62900,Gasolina,Usado,,
Aston Martin,"US$ 235,000",2021,DBX,2021 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12977306.jpg,235000,Gasolina,Usado,,
Audi,"US$ 62,900",2024,Q3 SportBack,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12604500.jpg,62900,Gasolina,Nuevo,,
Audi,"US$ 88,900",2024,Q5 Sportback 40 TDI S-Line,2024 - Diesel - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11618774.jpg,88900,Diesel,Nuevo,,
Audi,"US$ 147,500",2024,Q8 SLINE QUATRO PRESTIGE,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12821513.jpg,147500,Gasolina,Nuevo,,
Audi,"US$ 104,900",2024,Q7 45 TFSI Quattro Design Plus,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12817572.jpg,104900,Gasolina,Nuevo,,
